Bit Size (in),Mud Circulation Rate (gal/min),Drilling Interval Length (ft),Weight on Bit (1000 lbs),Rotary Speed (rev/min),ROP
6.268225642626066,6.7556519357564415,9.204492761472597,0.8282973197910348,18.44571151106312,2.4238913041172507
5.954993620097127,7.718056886834413,21.518627926918217,0.9724337462747012,20.234306973788215,2.4505501959649227
6.413312889759303,8.294527142942329,31.39354889232141,1.0668593400452469,20.6159576206887,2.171108276235078
6.924875103278056,8.829500613214076,44.53700606917362,1.3596040874028796,21.76178023440293,2.5464480032701884
5.991145909934672,11.160352983365955,47.956724067254925,1.2771362203881547,18.56148469370482,2.8346070053097034
6.020552180465847,12.037331865831769,71.15113345287024,1.1175922422353368,22.60075190825083,2.3850709493361903
7.058563957021859,13.778045456760953,81.8220893563682,1.3822545955765346,16.45444931637821,2.986330500453065
6.639143999369188,14.669096733075467,86.91641957347663,1.186429045696565,20.789654517472012,2.884956414740581
5.9765732743016375,16.41799172098078,112.0960001628602,1.5720117926227388,21.34903187290609,2.61351483084969
6.576450100272295,15.349311778536867,127.76161084134425,1.4234576479324728,23.91104080562017,2.797154333259692
6.037529943673126,19.296653893336114,111.03932153177753,1.5275580095072447,22.959581401000616,3.280613784698222
6.064990243701654,18.703181200064943,132.08866772271705,1.7848643296878117,20.26885671308325,3.0944971755354054
6.4988674120297825,23.143864773617302,143.17812870913605,1.457661405634391,21.412634355930003,2.9399799610542967
5.289995698327743,19.347220844684855,151.8009728215676,1.488603780821874,24.21212309911787,2.908877036076654
5.42369762963316,25.150174584434712,191.1063888572904,1.6644849713750236,23.9067370113024,3.028001822762321
6.1240197442856905,23.28435913320619,186.52151869064397,1.9800384992336888,23.09920932891151,2.9019581256312255
5.889753572998943,22.59482174158153,197.03027786551283,1.6098611046294273,23.59346955810056,2.4940319191580382
6.694642461069038,24.032847649070224,175.27236606905163,1.4297979926506341,26.51531948935642,3.683596365226812
6.006033395544541,25.495366801377994,238.75487174630797,1.8928617918987265,24.06710168444902,3.1904720074759862
5.735402868267431,28.42250698405237,211.31456691834956,2.1276824432269925,25.332091332377992,3.2952873097380113
7.471275193597783,29.843693285054105,251.19168700847825,2.305886862856489,30.869462219742758,3.1993347761479405
6.495897097799746,28.097864319828158,268.38295614621296,2.046133046366833,22.770693362257802,3.0358196326240354
6.701141081741151,30.685345384875102,307.3837305289098,2.108127027949307,22.007028683687448,3.230725324196168
5.832761242343777,38.024070836468276,252.17920601007683,2.476206445537579,28.582644486111704,2.84253786986156
6.391442737616028,38.1342731217616,216.90952496769378,1.9107155674954064,25.3424386031771,4.042946203424752
6.818143718769069,35.468310037485466,314.98205902809036,2.2691319548734334,26.5008801364602,3.0134571633257883
6.078363619207926,35.37383041488637,374.0129404060469,2.4466296042783706,25.635039015735764,3.106828290674193
7.041103542056211,36.77136743023379,371.0865158317061,2.5588946304682283,27.213328241572498,3.322643722491479
6.471042209588128,39.57432011308168,352.3878454991522,2.398186972378171,32.20693813967381,3.899644793857836
6.690493762890595,35.07281195376318,342.029369613362,2.5755262337860794,30.501113092985133,3.533947985707831
6.527192307683832,38.832902239588826,396.73351943468043,2.034510870397422,30.968868200565325,3.16762518985314
8.086352025484073,34.739992715904734,348.40929214584133,2.517162341786633,25.329849773719893,4.005235924205607
6.952505132057574,43.51321127164029,410.75656375604433,2.8411457891113545,26.28351994734775,3.8728186181957813
6.325490709204684,45.64129888210501,424.3367598738243,2.5376793054718685,22.04608432580564,3.846333773905676
7.540780481695955,42.32977916432134,457.74803229422264,2.8529027268654508,27.725575737324966,3.941919520362472
6.276310269934305,51.807768201630765,536.6453902898927,3.008199518452162,32.795100746305415,4.543715637753044
7.2141892856814085,41.37417827281416,457.48532290719646,2.85512411728609,31.904875953480396,4.514960331384695
5.8569222318280545,41.3523426431302,433.090656680414,3.046025218169074,30.1641860394004,3.5724404297305483
6.287512377822096,49.73963315788827,464.8113647542322,2.789432697596095,31.00671265411043,4.404174679636986
7.298226476915891,54.58050225998471,401.79840934522787,3.05031279067962,29.416027462761722,4.011099622947117
7.679807379263091,58.73499163478376,459.25823620778635,3.335826385561474,32.2349377653043,4.087922480146682
7.342759561259731,49.977177459707725,483.402950939513,3.2616535246478904,34.14473949938492,3.3458520868428323
7.185683545905919,58.42534333635541,489.653234113402,3.097639850660777,27.546415646108827,3.920741990515633
7.093702163482968,54.19191091064205,533.1057303969028,3.3914074485270023,33.402683392273175,3.722775272340967
6.3470952098305675,54.64314660625159,498.0829552351881,3.595658382288161,35.57077580865266,4.353344035289482
6.875086858878311,61.134430387691076,605.379936961276,2.7991667888070118,31.871221436264552,4.480116202081919
7.075367841105933,61.14654183131408,561.9117728055303,3.850185132274,35.505667563725105,3.3516108535886735
8.116540507170406,50.52713858735588,573.4231296838392,3.4333934224581126,42.22517939678192,4.14758425070505
7.6715728256443185,67.98012202444461,568.6153210308951,3.732246337861772,33.66286223997126,4.613748277309086
6.285946091324854,68.72412023003066,606.2589842480706,4.041798651953771,35.48646607373564,4.154443444218576
7.720301975973988,58.75118898979826,655.2013297210689,3.2456017111661715,32.26860860971521,4.5397790052724165
7.2705081911844704,65.63917310482191,573.3772061347346,3.5168890016116596,35.42444565161856,4.430789480200082
7.10088869756956,67.37464103483373,596.3674509945621,3.711846406738846,36.603098254929,4.462990225211627
8.009515282994217,67.17139164334426,628.260361980722,3.592245734679152,36.05988018371625,4.258076998283356
8.328831564349926,63.45046390000441,578.2262640510875,4.530835738234334,32.45072029354163,3.9177526460338115
8.292976447194375,63.778686650048456,620.5256881726485,3.6666190594235553,36.69002357427745,3.9866797694022993
7.101487512923977,68.84830011097023,652.6961724582075,3.8256788564075976,41.09092671527817,4.754382153396745
7.4971016086884905,77.53427092018164,748.5340129821177,4.156152619986066,38.081555315405645,4.511761251453513
7.972551775838604,74.74344830274909,722.6091667411627,3.6877405682684397,40.08921235568857,4.4820990472585525
8.454126039067086,69.96804703525208,730.4384891652217,4.040006866783788,36.39296477411419,4.3990046138197885
7.465343782903947,78.61281589649406,785.8309308698259,4.364476069769324,40.006870717479615,4.481712451877222
7.700967342334741,55.49915148768334,732.7614581599162,4.168561286845574,38.718052985322615,5.080574896078995
7.0790551153894885,83.59026998618673,780.4312510300545,4.314779038230805,34.80280530653142,4.536756515171114
